filename,width,height,class,xmin,ymin,xmax,ymax
1.png,128,124,pumpkin,32,25,160,149
1.png,128,124,pumpkin,185,25,313,149
1.png,128,124,pumpkin,338,25,466,149
1.png,128,124,pumpkin,32,178,160,302
1.png,128,124,pumpkin,185,178,313,302
1.png,128,124,pumpkin,338,178,466,302
1.png,128,124,pumpkin,32,331,160,455
1.png,128,124,pumpkin,185,331,313,455
1.png,128,124,pumpkin,338,331,466,455
2.png,128,109,mango,32,32,160,141
2.png,102,128,rabbit,185,32,287,160
2.png,102,128,rabbit,338,32,440,160
2.png,102,128,rabbit,96,224,198,352
2.png,102,128,rabbit,249,224,351,352
3.png,101,128,orange,32,32,133,160
3.png,101,128,orange,185,32,286,160
3.png,101,128,orange,338,32,439,160
3.png,74,128,icecream,96,224,170,352
3.png,74,128,icecream,249,224,323,352
4.png,128,96,eapot,32,32,160,128
4.png,128,96,eapot,185,32,313,128
4.png,128,96,eapot,338,32,466,128
4.png,128,96,eapot,32,224,160,320
4.png,128,96,eapot,185,224,313,320
4.png,128,102,cow,338,224,466,326
5.png,128,121,cupcake,32,25,160,146
5.png,128,121,cupcake,185,25,313,146
5.png,128,121,cupcake,338,25,466,146
5.png,128,121,cupcake,32,178,160,299
5.png,128,121,cupcake,185,178,313,299
5.png,128,121,cupcake,338,178,466,299
5.png,128,121,cupcake,32,331,160,452
5.png,128,121,cupcake,185,331,313,452
5.png,128,121,cupcake,338,331,466,452
6.png,128,112,umbrella,32,25,160,137
6.png,128,112,umbrella,185,25,313,137
6.png,128,112,umbrella,338,25,466,137
6.png,76,101,balloon,32,178,108,279
6.png,76,101,balloon,185,178,261,279
6.png,76,101,balloon,338,178,414,279
6.png,76,101,balloon,185,331,261,432
7.png,142,170,duck,42,42,184,212
7.png,142,170,duck,263,42,405,212
7.png,142,170,duck,42,263,184,433
7.png,142,170,duck,263,263,405,433
8.png,128,94,ant,32,25,160,119
8.png,128,94,ant,185,25,313,119
8.png,128,94,ant,338,25,466,119
8.png,128,94,ant,32,178,160,272
8.png,128,94,ant,185,178,313,272
8.png,128,94,ant,338,178,466,272
8.png,128,94,ant,121,331,249,425
8.png,128,94,ant,274,331,402,425
9.png,128,94,ant,32,32,160,126
9.png,128,94,ant,185,32,313,126
9.png,128,94,ant,338,32,466,126
9.png,128,94,ant,32,224,160,318
9.png,128,110,butterfly,185,224,313,334
9.png,128,110,butterfly,338,224,466,334
10.png,128,102,top,32,32,160,134
10.png,128,102,top,185,32,313,134
10.png,128,102,top,338,32,466,134
10.png,128,102,top,32,224,160,326
10.png,128,102,top,185,224,313,326
10.png,128,102,top,338,224,466,326
11.png,128,94,ant,32,25,160,119
11.png,128,94,ant,185,25,313,119
11.png,128,122,elephant,338,25,466,147
11.png,128,122,elephant,32,178,160,300
11.png,128,122,elephant,185,178,313,300
11.png,128,122,elephant,338,178,466,300
11.png,128,122,elephant,121,331,249,453
11.png,128,122,elephant,274,331,402,453
12.png,111,128,tree,32,32,143,160
12.png,111,128,tree,185,32,296,160
12.png,111,128,tree,338,32,449,160
12.png,111,128,tree,96,224,207,352
12.png,111,128,tree,249,224,360,352
13.png,125,169,ladybug,42,42,167,211
13.png,170,165,pumpkin,263,42,433,207
13.png,170,165,pumpkin,42,263,212,428
13.png,170,165,pumpkin,263,263,433,428
14.png,128,102,shark,32,32,160,134
14.png,128,102,shark,185,32,313,134
14.png,128,102,shark,338,32,466,134
14.png,128,102,shark,32,224,160,326
14.png,127,128,ball,185,224,312,352
14.png,127,128,ball,338,224,465,352
15.png,101,101,apple,32,25,133,126
15.png,101,101,apple,185,25,286,126
15.png,101,101,apple,338,25,439,126
15.png,101,101,apple,32,178,133,279
15.png,101,101,apple,185,178,286,279
15.png,101,101,apple,338,178,439,279
15.png,101,101,apple,121,331,222,432
15.png,101,101,apple,274,331,375,432
16.png,135,136,ball,144,144,279,280
17.png,164,170,sun,42,85,206,255
17.png,164,170,sun,255,85,419,255
18.png,127,170,balloon,42,85,169,255
18.png,127,170,balloon,255,85,382,255
19.png,123,128,sun,32,32,155,160
19.png,123,128,sun,185,32,308,160
19.png,128,128,carrot,338,32,466,160
19.png,128,128,carrot,96,224,224,352
19.png,128,128,carrot,249,224,377,352
20.png,56,128,lollipop,32,32,88,160
20.png,128,102,shark,185,32,313,134
20.png,128,102,shark,338,32,466,134
20.png,128,102,shark,32,224,160,326
20.png,128,102,shark,185,224,313,326
20.png,128,102,shark,338,224,466,326
21.png,44,102,lollipop,32,25,76,127
21.png,44,102,lollipop,185,25,229,127
21.png,44,102,lollipop,338,25,382,127
21.png,44,102,lollipop,32,178,76,280
21.png,44,102,lollipop,185,178,229,280
21.png,44,102,lollipop,338,178,382,280
21.png,44,102,lollipop,121,331,165,433
21.png,44,102,lollipop,274,331,318,433
22.png,123,128,sun,32,32,155,160
22.png,128,124,pumpkin,185,32,313,156
22.png,128,124,pumpkin,338,32,466,156
22.png,128,124,pumpkin,96,224,224,348
22.png,128,124,pumpkin,249,224,377,348
23.png,123,128,sun,32,32,155,160
23.png,123,128,sun,185,32,308,160
23.png,123,128,sun,338,32,461,160
23.png,123,128,sun,96,224,219,352
23.png,101,101,apple,249,224,350,325
24.png,122,128,frog,32,32,154,160
24.png,122,128,frog,185,32,307,160
24.png,128,98,fish,338,32,466,130
24.png,128,98,fish,96,224,224,322
24.png,128,98,fish,249,224,377,322
25.png,128,110,butterfly,32,25,160,135
25.png,128,110,butterfly,185,25,313,135
25.png,128,110,butterfly,338,25,466,135
25.png,128,110,butterfly,32,178,160,288
25.png,128,110,butterfly,185,178,313,288
25.png,128,110,butterfly,338,178,466,288
25.png,128,110,butterfly,121,331,249,441
25.png,128,110,butterfly,274,331,402,441
26.png,44,102,lollipop,32,25,76,127
26.png,44,102,lollipop,185,25,229,127
26.png,44,102,lollipop,338,25,382,127
26.png,44,102,lollipop,32,178,76,280
26.png,44,102,lollipop,185,178,229,280
26.png,44,102,lollipop,338,178,382,280
26.png,44,102,lollipop,185,331,229,433
27.png,170,95,spider,42,42,212,137
27.png,150,115,fish,263,42,413,157
27.png,150,115,fish,173,263,323,378
28.png,127,170,balloon,42,42,169,212
28.png,127,170,balloon,263,42,390,212
